tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,diameter,curb,date_planted,longitude,latitude
140559,2420,KAMLOOPS ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,N,2400,KAMLOOPS ST,HASTINGS-SUNRISE,EVEN,2,5,Y,1996-11-13,-123.05461,49.262728
141045,2080,WALL ST,STYRAX,JAPONICA,SNOWCONE,SNOWCONE JAPANESE SNOWBELL,N,N,B,2000,WALL ST,GRANDVIEW-WOODLAND,EVEN,1,3,Y,NA,NA,NA
141089,7525,CAMBIE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,7500,CAMBIE ST,MARPOLE,ODD,1,3,Y,2010-12-20,NA,NA
141129,1556,E 8TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,B,1500,E 8TH AV,GRANDVIEW-WOODLAND,EVEN,1,3,N,2014-12-18,-123.072312,49.263211
141241,2075,CASSIAR ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,N,2000,CASSIAR ST,HASTINGS-SUNRISE,ODD,2,3,Y,1993-10-26,NA,NA
144370,4188,BALACLAVA ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,4100,BALACLAVA ST,DUNBAR-SOUTHLANDS,EVEN,1,3,Y,2010-10-13,-123.17569,49.24898
144383,3495,W 18TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,3400,W 18TH AV,DUNBAR-SOUTHLANDS,ODD,1,3,Y,2010-10-13,-123.18182,49.25647
87972,2008,BAYSWATER ST,STYRAX,JAPONICA,SNOWCONE,SNOWCONE JAPANESE SNOWBELL,N,Y,3,2000,BAYSWATER ST,KITSILANO,EVEN,1,3,N,2014-04-03,-123.171,49.26823
88023,2083,BAYSWATER ST,STYRAX,JAPONICA,SNOWCONE,SNOWCONE JAPANESE SNOWBELL,N,Y,3,2000,BAYSWATER ST,KITSILANO,ODD,1,3,N,2014-04-03,-123.17116,49.26779
3106,2090,W 1ST AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,b,2000,W 1ST AV,KITSILANO,EVEN,1,3,Y,2009-12-03,-123.152084,49.270705
4904,2050,W 1ST AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,b,2000,W 1ST AV,KITSILANO,EVEN,1,3,Y,2009-12-03,-123.151383,49.270694
5163,2041,W 6TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,2000,W 6TH AV,KITSILANO,ODD,1,3,Y,2003-11-19,-123.151405,49.266444
